GISJOIN,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,TRACTA,BLOCKA
G3601030145803327,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145803,327
G3601030145805516,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145805,516
G3601030145806223,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145806,223
G3601030145901203,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145901,203
G3601030146001108,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146001,108
G3601030146002208,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146002,208
G3601030146003103,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146003,103
G3601030146003299,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146003,299
G3601030146003303,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146003,303
G3601030146103105,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146103,105
G3601030146103330,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146103,330
G3601030146103426,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146103,426
G3601030146103427,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146103,427
G3601030146104323,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146104,323
G3601030146204136,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146204,136
G3601030146204137,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146204,137
G3601030146204138,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146204,138
G36010301463326,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1463,326
G3601030146402106,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146402,106
G36010301465405,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1465,405
G3601030146606599,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146606,599
G3601030146609101,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146609,101
G3601030146705524,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146705,524
G36010301468223,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1468,223
G36010301468224,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1468,224
G36010301468325,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1468,325
G3601030147001113,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,147001,113
G36010301471191,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1471,191
G36010301471901,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1471,901
G36010301473200,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1473,200
G3601030158002122,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158002,122
G3601030158006309,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158006,309
G3601030158007126,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158007,126
G3601030158108224,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158108,224
G3601030158112313,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158112,313
G3601030158202202,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158202,202
G3601030158202206,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158202,206
G3601030158203323,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158203,323
G3601030158204101,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158204,101
G3601030158308229,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158308,229
G3601030158314420,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158314,420
G3601030158502208,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158502,208
G3601030158502215,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158502,215
G3601030158604414,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158604,414
G3601030158607334,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158607,334
G3601030158607337,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158607,337
G3601030158705222,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158705,222
G3601030158710557,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158710,557
G3601030158712941,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158712,941
G3601030158712942,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158712,942
G3601030158712949,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158712,949
G3601030158712951,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158712,951
G3601030158712954,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158712,954
G3601030158712958,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158712,958
G36010301590337,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1590,337
G3601030159102111,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159102,111
G3601030159403414,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159403,414
G3601030159403417,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159403,417
G3601030159405199,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159405,199
G3601030159502626,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159502,626
G3601030159502669,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159502,669
G3601030159505915,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159505,915
G3601030170001422,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,170001,422
G3601030190402606,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,190402,606
G3601030190403506,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,190403,506
G3601030190501332,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,190501,332
G3601030190502325,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,190502,325
G3601030190701404,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,190701,404
G36011900012314,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0012,314
G36011900012318,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0012,318
G36011900012321,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0012,321
G3601190001301508,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,001301,508
G3601190001402404,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,001402,404
G3601190001402412,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,001402,412
G3601190001505108,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,001505,108
G36011900017611,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0017,611
G36011900020312,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0020,312
G36011900020313,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0020,313
G36011900020315,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0020,315
G36011900020931,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0020,931
G3601190002101311,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,002101,311
G3601190002101332,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,002101,332
G3601190002103312,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,002103,312
G3601190002105218,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,002105,218
G3601190002202306,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,002202,306
G3601190002403208,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,002403,208
G36011900049101,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0049,101
G36011900052101,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0052,101
G36011900052102,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0052,102
G36011900052313,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0052,313
G36011900053303,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0053,303
G36011900053510,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0053,510
G3601190005902306,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,005902,306
G36011900062112,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0062,112
G36011900077405,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0077,405
G3601190008302948,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,008302,948
G36011900086101,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0086,101
G36011900089105,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0089,105
