"GEO_ID","NAME","P8_001N","P8_002N","P8_003N","P8_004N","P8_005N","P8_006N","P8_007N","P8_008N","P8_009N","P8_010N","P8_011N","P8_012N","P8_013N","P8_014N","P8_015N","P8_016N","P8_017N","P8_018N","P8_019N","P8_020N","P8_021N","P8_022N","P8_023N","P8_024N","P8_025N","P8_026N","P8_027N","P8_028N","P8_029N","P8_030N","P8_031N","P8_032N","P8_033N","P8_034N","P8_035N","P8_036N","P8_037N","P8_038N","P8_039N","P8_040N","P8_041N","P8_042N","P8_043N","P8_044N","P8_045N","P8_046N","P8_047N","P8_048N","P8_049N","P8_050N","P8_051N","P8_052N","P8_053N","P8_054N","P8_055N","P8_056N","P8_057N","P8_058N","P8_059N","P8_060N","P8_061N","P8_062N","P8_063N","P8_064N","P8_065N","P8_066N","P8_067N","P8_068N","P8_069N","P8_070N","P8_071N",
"860Z200US13062","ZCTA5 13062","237","222","205","5","0","9","0","3","15","13","3","1","1","0","8","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13063","ZCTA5 13063","1902","1819","1780","7","7","8","2","15","83","74","8","31","7","0","25","0","0","0","1","0","0","1","0","1","0","9","1","1","0","3","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13065","ZCTA5 13065","64","64","63","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13066","ZCTA5 13066","12949","12273","11185","293","40","668","0","87","676","645","76","103","119","7","318","1","4","0","7","0","0","0","3","4","3","26","6","3","0","6","1","0","1","3","6","0","0","0","0","0","0","0","0","0","0","0","4","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"860Z200US13068","ZCTA5 13068","5189","4776","4479","136","17","42","2","100","413","397","56","133","37","0","153","0","4","0","7","0","0","0","1","6","0","16","9","0","1","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13069","ZCTA5 13069","24071","22584","21908","209","118","90","6","253","1487","1419","171","535","84","13","578","9","4","4","11","0","0","6","3","0","1","62","19","1","2","8","7","0","7","6","0","0","4","4","1","1","0","0","0","0","1","1","5","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1",
"860Z200US13071","ZCTA5 13071","953","898","877","5","9","1","0","6","55","49","4","7","0","1","36","0","0","0","1","0","0","0","0","0","0","5","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13072","ZCTA5 13072","772","750","741","1","1","2","0","5","22","21","1","5","0","0","14","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13073","ZCTA5 13073","6190","5689","5454","47","17","57","1","113","501","474","86","129","32","0","217","2","3","0","4","0","0","0","0","1","0","25","9","4","0","0","4","0","1","3","3","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13074","ZCTA5 13074","4206","3968","3893","15","22","13","5","20","238","229","24","88","8","5","95","0","2","0","2","1","0","3","0","0","1","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1",
"860Z200US13076","ZCTA5 13076","2297","2200","2179","7","4","2","0","8","97","96","11","47","3","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"860Z200US13077","ZCTA5 13077","6446","6175","6030","33","13","45","3","51","271","252","30","110","8","0","95","4","1","0","4","0","0","0","0","0","0","17","8","1","1","1","0","0","1","1","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0",
"860Z200US13078","ZCTA5 13078","10019","9471","8106","332","65","916","0","52","548","504","69","135","78","3","193","4","3","3","8","0","0","1","3","3","1","40","15","9","0","7","1","0","1","3","2","0","0","0","0","0","1","0","0","0","0","1","4","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13080","ZCTA5 13080","3375","3201","3142","10","8","16","0","25","174","167","24","62","22","1","58","0","0","0","0","0","0","0","0","0","0","7","1","1","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13081","ZCTA5 13081","1058","1005","972","1","15","4","0","13","53","52","4","8","2","1","34","0","0","0","3","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13082","ZCTA5 13082","4539","4316","4214","38","19","18","1","26","223","209","30","82","11","0","76","3","0","0","0","2","0","5","0","0","0","11","4","0","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0",
"860Z200US13083","ZCTA5 13083","1896","1797","1773","11","7","4","0","2","99","92","13","40","5","0","32","0","0","0","1","0","0","1","0","0","0","6","0","0","0","0","2","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13084","ZCTA5 13084","4101","3900","3743","24","75","18","1","39","201","180","27","71","17","0","62","1","0","0","1","0","0","0","0","1","0","20","9","0","0","1","3","0","0","0","4","0","0","0","1","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13087","ZCTA5 13087","183","174","173","1","0","0","0","0","9","9","0","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
